"id";"gravity";"acceleration";"rotation";"attitude";"fallenDown";"date";"studentId"
1264;"grav_x: 0.01, grav_y: 0.04, grav_z: -1.00";"acc_x: -0.00, acc_y: 0.00, acc_z: -0.00";"rota_x: -0.00, rota_y: -0.00, rota_z: -0.00";"atti_roll: 0.0, atti_pitch: -0.0, atti_yaw: 0.0";0;"2020-05-11 18:28:38";"student0kqopZ"
1265;"grav_x: 0.01, grav_y: 0.04, grav_z: -1.00";"acc_x: -0.00, acc_y: 0.00, acc_z: -0.00";"rota_x: -0.00, rota_y: 0.00, rota_z: 0.00";"atti_roll: 0.0, atti_pitch: -0.0, atti_yaw: 0.0";0;"2020-05-11 18:28:39";"studentMW8ySp"
1266;"grav_x: 0.01, grav_y: 0.05, grav_z: -1.00";"acc_x: -0.00, acc_y: -0.00, acc_z: -0.00";"rota_x: -0.00, rota_y: -0.00, rota_z: 0.00";"atti_roll: 0.0, atti_pitch: -0.0, atti_yaw: -0.0";0;"2020-05-11 18:28:39";"studentTnp84j"
1267;"grav_x: 0.01, grav_y: 0.04, grav_z: -1.00";"acc_x: -0.00, acc_y: 0.00, acc_z: -0.00";"rota_x: -0.00, rota_y: -0.00, rota_z: -0.00";"atti_roll: 0.0, atti_pitch: -0.0, atti_yaw: -0.0";0;"2020-05-11 18:28:40";"studentzHVrWP"
1268;"grav_x: 0.01, grav_y: 0.04, grav_z: -1.00";"acc_x: -0.00, acc_y: 0.00, acc_z: -0.00";"rota_x: -0.00, rota_y: -0.00, rota_z: 0.00";"atti_roll: 0.0, atti_pitch: -0.0, atti_yaw: -0.0";0;"2020-05-11 18:28:40";"studentgyrztP"
1269;"grav_x: 0.01, grav_y: 0.04, grav_z: -1.00";"acc_x: 0.00, acc_y: 0.00, acc_z: -0.00";"rota_x: 0.00, rota_y: -0.00, rota_z: 0.00";"atti_roll: 0.0, atti_pitch: -0.0, atti_yaw: -0.0";0;"2020-05-11 18:28:41";"studentRfUsyJ"
1270;"grav_x: 0.01, grav_y: 0.04, grav_z: -1.00";"acc_x: 0.00, acc_y: -0.00, acc_z: -0.00";"rota_x: 0.00, rota_y: -0.00, rota_z: 0.00";"atti_roll: 0.0, atti_pitch: -0.0, atti_yaw: -0.0";0;"2020-05-11 18:28:41";"studentVMXVwR"
1271;"grav_x: 0.01, grav_y: 0.04, grav_z: -1.00";"acc_x: 0.00, acc_y: -0.00, acc_z: -0.00";"rota_x: -0.00, rota_y: 0.00, rota_z: 0.00";"atti_roll: 0.0, atti_pitch: -0.0, atti_yaw: -0.0";0;"2020-05-11 18:28:42";"studentrnGzDg"
1272;"grav_x: 0.01, grav_y: 0.04, grav_z: -1.00";"acc_x: 0.00, acc_y: -0.00, acc_z: -0.00";"rota_x: -0.00, rota_y: 0.01, rota_z: -0.00";"atti_roll: 0.0, atti_pitch: -0.0, atti_yaw: -0.0";0;"2020-05-11 18:28:42";"studentqpRxLJ"
1273;"grav_x: 0.01, grav_y: 0.04, grav_z: -1.00";"acc_x: 0.00, acc_y: 0.00, acc_z: -0.00";"rota_x: -0.00, rota_y: -0.00, rota_z: 0.00";"atti_roll: 0.0, atti_pitch: -0.0, atti_yaw: -0.0";0;"2020-05-11 18:28:43";"studentHcCzvB"
1274;"grav_x: 0.01, grav_y: 0.04, grav_z: -1.00";"acc_x: -0.00, acc_y: -0.00, acc_z: -0.00";"rota_x: -0.00, rota_y: -0.00, rota_z: -0.00";"atti_roll: 0.0, atti_pitch: -0.0, atti_yaw: -0.0";0;"2020-05-11 18:28:43";"studentxWaRle"
1275;"grav_x: 0.01, grav_y: 0.04, grav_z: -1.00";"acc_x: 0.00, acc_y: 0.00, acc_z: -0.00";"rota_x: 0.01, rota_y: 0.01, rota_z: 0.00";"atti_roll: 0.0, atti_pitch: -0.0, atti_yaw: -0.0";0;"2020-05-11 18:28:44";"studentuRnzry"
1276;"grav_x: 0.01, grav_y: 0.04, grav_z: -1.00";"acc_x: -0.00, acc_y: 0.00, acc_z: -0.00";"rota_x: -0.00, rota_y: 0.00, rota_z: -0.00";"atti_roll: 0.0, atti_pitch: -0.0, atti_yaw: -0.0";0;"2020-05-11 18:28:44";"student3mwqtH"
1277;"grav_x: 0.01, grav_y: 0.04, grav_z: -1.00";"acc_x: -0.00, acc_y: -0.00, acc_z: -0.01";"rota_x: -0.00, rota_y: -0.00, rota_z: -0.00";"atti_roll: 0.0, atti_pitch: -0.0, atti_yaw: -0.0";0;"2020-05-11 18:28:45";"student0RpUmT"
1278;"grav_x: 0.01, grav_y: 0.04, grav_z: -1.00";"acc_x: 0.00, acc_y: -0.00, acc_z: -0.00";"rota_x: -0.00, rota_y: -0.00, rota_z: -0.00";"atti_roll: 0.0, atti_pitch: -0.0, atti_yaw: -0.0";0;"2020-05-11 18:28:45";"studentgE2zXE"
1279;"grav_x: 0.01, grav_y: 0.04, grav_z: -1.00";"acc_x: 0.00, acc_y: 0.00, acc_z: -0.00";"rota_x: 0.00, rota_y: -0.00, rota_z: -0.00";"atti_roll: 0.0, atti_pitch: -0.0, atti_yaw: -0.0";0;"2020-05-11 18:28:46";"studentdyLi6w"
1280;"grav_x: 0.01, grav_y: 0.04, grav_z: -1.00";"acc_x: -0.00, acc_y: -0.00, acc_z: -0.00";"rota_x: -0.00, rota_y: -0.00, rota_z: -0.00";"atti_roll: 0.0, atti_pitch: -0.0, atti_yaw: -0.0";0;"2020-05-11 18:28:46";"student6uOivA"
1281;"grav_x: 0.01, grav_y: 0.04, grav_z: -1.00";"acc_x: 0.00, acc_y: -0.00, acc_z: -0.00";"rota_x: -0.00, rota_y: 0.00, rota_z: 0.00";"atti_roll: 0.0, atti_pitch: -0.0, atti_yaw: -0.0";0;"2020-05-11 18:28:47";"studentV0UoRM"
1282;"grav_x: 0.01, grav_y: 0.04, grav_z: -1.00";"acc_x: 0.00, acc_y: 0.00, acc_z: -0.00";"rota_x: -0.00, rota_y: 0.00, rota_z: -0.00";"atti_roll: 0.0, atti_pitch: -0.0, atti_yaw: -0.0";0;"2020-05-11 18:28:47";"studentLXn1wA"
1283;"grav_x: 0.01, grav_y: 0.04, grav_z: -1.00";"acc_x: 0.00, acc_y: -0.00, acc_z: -0.00";"rota_x: 0.00, rota_y: -0.00, rota_z: 0.00";"atti_roll: 0.0, atti_pitch: -0.0, atti_yaw: -0.0";0;"2020-05-11 18:28:48";"studentY6H17Z"
1284;"grav_x: 0.01, grav_y: 0.04, grav_z: -1.00";"acc_x: 0.00, acc_y: -0.00, acc_z: -0.00";"rota_x: 0.00, rota_y: -0.00, rota_z: 0.00";"atti_roll: 0.0, atti_pitch: -0.0, atti_yaw: -0.0";0;"2020-05-11 18:28:48";"student0zyCSc"
